{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/bitumin/bitumin126.jpeg has score 4.931
trainset/bitumin/bitumin121.jpeg has score 5.086
trainset/bitumin/bitumin122.jpeg has score 5.278
trainset/sand/sand119.jpeg has score 5.34
trainset/gravel/gravel132.jpeg has score 5.398
trainset/sand/sand113.jpeg has score 5.619
trainset/gravel/gravel124.jpeg has score 5.626
trainset/bitumin/bitumin111.jpeg has score 5.657
trainset/sand/sand117.jpeg has score 5.692
trainset/gravel/gravel133.jpeg has score 6.014
trainset/gravel/gravel131.jpeg has score 6.014
trainset/bitumin/bitumin119.jpeg has score 6.139
trainset/gravel/gravel135.jpeg has score 6.179
trainset/gravel/gravel129.jpeg has score 6.405
trainset/sand/sand112.jpeg has score 6.671
trainset/gravel/gravel111.jpeg has score 6.957
trainset/gravel/gravel134.jpeg has score 7.28
trainset/gravel/gravel130.jpeg has score 7.655
trainset/gravel/gravel113.jpeg has score 7.937
trainset/gravel/gravel126.jpeg has score 8.695
trainset/gravel/gravel115.jpeg has score 8.701
trainset/gravel/gravel118.jpeg has score 9.208
trainset/gravel/gravel117.jpeg has score 9.304
trainset/gravel/gravel125.jpeg has score 9.571
trainset/gravel/gravel112.jpeg has score 9.687
trainset/gravel/gravel119.jpeg has score 9.827
trainset/gravel/gravel116.jpeg has score 10.482
trainset/sand/sand3.jpeg has score 10.689
trainset/gravel/gravel136.jpeg has score 11.19
trainset/gravel/gravel122.jpeg has score 11.624
trainset/gravel/gravel123.jpeg has score 11.841
trainset/gravel/gravel121.jpeg has score 12.101
trainset/gravel/gravel128.jpeg has score 13.063
trainset/gravel/gravel120.jpeg has score 13.663
trainset/gravel/gravel127.jpeg has score 13.758
Displaying scores for queryset/testMaterial/indexgravel.jpeg ** 

trainset/sand/sand5.jpeg has score 1.378
trainset/sand/sand2.jpeg has score 1.545
trainset/mixture/mixture5.jpeg has score 3.483
trainset/sand/sand4.jpeg has score 3.536
trainset/sand/sand114.jpeg has score 3.846
trainset/sand/sand126.jpeg has score 3.896
trainset/mixture/mixture6.jpeg has score 4.065
trainset/mixture/mixture7.jpeg has score 4.152
trainset/mixture/mixture2.jpeg has score 4.469
trainset/sand/sand124.jpeg has score 4.627
trainset/sand/sand121.jpeg has score 4.652
trainset/mixture/mixture1.jpeg has score 4.795
trainset/sand/sand122.jpeg has score 5.203
trainset/mixture/mixture10.jpeg has score 5.686
trainset/gravel/gravel114.jpeg has score 5.727
trainset/sand/sand123.jpeg has score 6.084
